Traction,Time
0.0,28215.0
0.0,28264.0
3.0,0.0
0.0,49.0
3.0,98.0
4.0,146.0
1.0,196.0
3.0,244.0
0.0,293.0
1.0,343.0
1.0,394.0
4.0,445.0
4.0,495.0
1.0,544.0
4.0,594.0
3.0,641.0
1.0,689.0
4.0,737.0
0.0,788.0
4.0,838.0
1.0,888.0
4.0,936.0
4.0,983.0
4.0,1033.0
4.0,1083.0
3.0,1132.0
0.0,1182.0
1.0,1233.0
4.0,1284.0
4.0,1333.0
0.0,1385.0
1.0,1433.0
2.0,1485.0
3.0,1535.0
2.0,1584.0
4.0,1636.0
4.0,1687.0
0.0,1736.0
2.0,1785.0
0.0,1834.0
2.0,1884.0
4.0,1933.0
0.0,1985.0
3.0,2036.0
4.0,2087.0
2.0,2138.0
1.0,2186.0
0.0,2237.0
4.0,2289.0
2.0,2338.0
4.0,2389.0
4.0,2439.0
1.0,2491.0
0.0,2541.0
0.0,2592.0
1.0,2642.0
1.0,2694.0
1.0,2744.0
4.0,2795.0
1.0,2846.0
4.0,2897.0
0.0,2949.0
1.0,2999.0
3.0,3051.0
0.0,3099.0
1.0,3150.0
1.0,3200.0
4.0,3250.0
4.0,3302.0
1.0,3352.0
3.0,3402.0
2.0,3452.0
0.0,3502.0
3.0,3551.0
4.0,3601.0
3.0,3650.0
4.0,3700.0
3.0,3750.0
2.0,3801.0
2.0,3851.0
1.0,3904.0
0.0,3954.0
3.0,4005.0
3.0,4056.0
1.0,4106.0
1.0,4158.0
2.0,4206.0
3.0,4256.0
4.0,4306.0
4.0,4357.0
3.0,4407.0
0.0,4457.0
4.0,4507.0
0.0,4559.0
3.0,4607.0
0.0,4658.0
3.0,4711.0
4.0,4762.0
0.0,4813.0
3.0,4863.0
4.0,4913.0
1.0,4964.0
0.0,5013.0
4.0,5064.0
3.0,5115.0
1.0,5165.0
3.0,5216.0
2.0,5265.0
4.0,5315.0
3.0,5367.0
3.0,5417.0
4.0,5465.0
4.0,5514.0
4.0,5566.0
2.0,5616.0
3.0,5666.0
1.0,5716.0
2.0,5767.0
3.0,5818.0
0.0,5866.0
2.0,5916.0
3.0,5967.0
2.0,6019.0
0.0,6069.0
0.0,6119.0
1.0,6170.0
4.0,6221.0
